name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;906;0;954;3155;1914;3155;1914;0
header;255;174;255;212;1585;212;1585;174
A;1067;393;1067;394;1068;394;1068;393
B;1077;937;1077;965;1096;965;1096;937
A;1898;981;1898;1000;1913;1000;1913;981
B;1898;1052;1898;1070;1915;1070;1915;1052
C;1628;1606;1628;1631;1646;1631;1646;1606
C;1082;1608;1082;1639;1105;1639;1105;1608
B;1052;1612;1052;1632;1067;1632;1067;1612
C;1803;2135;1803;2161;1820;2161;1820;2135
A;1081;2137;1081;2140;1083;2140;1083;2137
D;1088;2279;1088;2308;1110;2308;1110;2279
B;1900;2739;1900;2759;1913;2759;1913;2739
