name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;434;0;505;3149;1342;3149;1200;0
header;261;147;261;183;1880;183;1880;147
C;492;245;492;277;511;277;511;245
B;647;341;647;358;661;358;661;341
A;861;550;861;551;863;551;863;550
D;773;649;773;672;791;672;791;649
B;560;914;560;938;578;938;578;914
A;640;966;640;971;673;971;673;966
A;1112;1015;1112;1021;1117;1021;1117;1015
A;504;1126;504;1126;504;1126;504;1126
B;535;1223;535;1246;554;1246;554;1223
A;967;1405;967;1408;1000;1408;1000;1405
B;716;1581;716;1600;732;1600;732;1581
B;899;2093;899;2119;931;2119;931;2093
B;579;2102;579;2125;598;2125;598;2102
A;681;2630;681;2630;681;2630;681;2630
A;688;2742;688;2742;688;2742;688;2742
